episode,reward,steps,energy,charge_visits,cleaned_cells,success,epsilon,blocked,battery_dead,time_since_start_sec,episode_chunk_time_sec,stop_reason,success_rate,battery,cleaned,model_name,algorithm
84,66.6,250,250,26,41,0,0.9429,0,False,31.737,0.567,,0.0%,12/16,41/48,ddqn-no-obstacle,DDQN
85,75.0,250,250,22,43,0,0.9422,0,False,32.26,0.522,,0.0%,2/16,43/48,ddqn-no-obstacle,DDQN
86,61.6,250,250,22,40,0,0.9416,0,False,32.783,0.523,,0.0%,14/16,40/48,ddqn-no-obstacle,DDQN
87,67.9,250,250,28,42,0,0.9409,0,False,33.309,0.525,,0.0%,16/16,42/48,ddqn-no-obstacle,DDQN
88,57.0,250,250,28,39,0,0.9402,0,False,33.856,0.547,,0.0%,12/16,39/48,ddqn-no-obstacle,DDQN
89,74.2,250,250,22,43,0,0.9396,0,False,34.38,0.524,,0.0%,10/16,43/48,ddqn-no-obstacle,DDQN
90,67.2,250,250,26,42,0,0.9389,0,False,34.903,0.522,,0.0%,12/16,42/48,ddqn-no-obstacle,DDQN
91,71.5,250,250,28,42,0,0.9383,0,False,35.535,0.631,,0.0%,8/16,42/48,ddqn-no-obstacle,DDQN
92,81.8,250,250,20,44,0,0.9376,0,False,36.107,0.571,,0.0%,6/16,44/48,ddqn-no-obstacle,DDQN
93,87.9,250,250,23,45,0,0.937,0,False,36.655,0.547,,0.0%,6/16,45/48,ddqn-no-obstacle,DDQN
94,87.1,250,250,26,45,0,0.9363,0,False,37.174,0.518,,0.0%,16/16,45/48,ddqn-no-obstacle,DDQN
95,67.4,250,250,30,44,0,0.9356,0,False,37.708,0.533,,0.0%,6/16,44/48,ddqn-no-obstacle,DDQN
96,73.5,250,250,22,41,0,0.935,0,False,38.249,0.541,,0.0%,2/16,41/48,ddqn-no-obstacle,DDQN
97,65.8,250,250,28,42,0,0.9343,0,False,38.811,0.561,,0.0%,12/16,42/48,ddqn-no-obstacle,DDQN
98,49.5,250,250,22,38,0,0.9337,0,False,39.355,0.544,,0.0%,12/16,38/48,ddqn-no-obstacle,DDQN
99,74.8,250,250,24,43,0,0.933,0,False,40.197,0.842,,0.0%,12/16,43/48,ddqn-no-obstacle,DDQN
100,82.6,250,250,25,44,0,0.9324,0,False,40.779,0.581,,0.0%,14/16,44/48,ddqn-no-obstacle,DDQN
101,69.9,250,250,19,41,0,0.9317,0,False,41.324,0.545,,0.0%,2/16,41/48,ddqn-no-obstacle,DDQN
102,84.5,250,250,22,45,0,0.9311,0,False,41.858,0.533,,0.0%,12/16,45/48,ddqn-no-obstacle,DDQN
103,73.8,250,250,24,42,0,0.9304,0,False,42.417,0.557,,0.0%,2/16,42/48,ddqn-no-obstacle,DDQN
104,82.8,250,250,20,44,0,0.9298,0,False,42.958,0.54,,0.0%,14/16,44/48,ddqn-no-obstacle,DDQN
105,80.0,250,250,18,42,0,0.9291,0,False,43.528,0.57,,0.0%,8/16,42/48,ddqn-no-obstacle,DDQN
106,80.8,250,250,20,44,0,0.9285,0,False,44.154,0.625,,0.0%,12/16,44/48,ddqn-no-obstacle,DDQN
107,46.7,250,250,26,37,0,0.9278,0,False,44.703,0.548,,0.0%,12/16,37/48,ddqn-no-obstacle,DDQN
108,64.5,250,250,26,41,0,0.9272,0,False,45.239,0.535,,0.0%,12/16,41/48,ddqn-no-obstacle,DDQN
