[2026-04-09 10:06:50] train_start model=DQN algorithm=DQN name=dqn-no-obstacle episodes=6000 obstacle_map=Yok
[2026-04-09 11:01:53] ep=5200 success_100=2/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=73.74s total_time=3579.74s
[2026-04-09 11:03:01] ep=5300 success_100=1/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=73.57s total_time=3653.31s
[2026-04-09 11:04:10] ep=5400 success_100=4/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=73.29s total_time=3726.60s
[2026-04-09 11:05:16] ep=5500 success_100=21/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=73.59s total_time=3800.18s
[2026-04-09 11:06:25] ep=5600 success_100=6/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=73.64s total_time=3873.82s
[2026-04-09 11:07:34] ep=5700 success_100=0/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=74.15s total_time=3947.98s
[2026-04-09 11:08:41] ep=5800 success_100=6/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=74.85s total_time=4022.82s
[2026-04-09 11:09:51] ep=5900 success_100=1/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=75.13s total_time=4097.95s
[2026-04-09 11:11:01] ep=6000 success_100=1/100 battery_dead_100=0/100 blocked_avg_100=0.0 epsilon=0.1000 time_100=75.01s total_time=4172.96s
[2026-04-09 11:11:01] run_end episodes=6000 stop_reason=completed_all_episodes total_steps=1453918 elapsed=4172.97s
[2026-04-09 11:11:02] best_weights_loaded best_success=0.69 best_episode=2053
[2026-04-09 11:11:02] artifacts_saved model_path=model_dqn-no-obstacle_20260409_100650.pt
