episode,reward,steps,energy,charge_visits,cleaned_cells,success,epsilon,blocked,battery_dead,time_since_start_sec,episode_chunk_time_sec,stop_reason,success_rate,battery,cleaned,model_name,algorithm
110,97.3,250,250,17,46,0,0.9259,0,False,51.687,0.519,,0.0%,2/16,46/48,dqn-no-obstacle,DQN
111,87.9,250,250,25,47,0,0.9252,0,False,52.204,0.516,,0.0%,16/16,47/48,dqn-no-obstacle,DQN
112,96.9,250,250,21,46,0,0.9246,0,False,52.753,0.549,,0.0%,6/16,46/48,dqn-no-obstacle,DQN
113,53.1,250,250,23,39,0,0.9239,0,False,53.436,0.682,,0.0%,4/16,39/48,dqn-no-obstacle,DQN
114,91.6,250,250,19,45,0,0.9233,0,False,53.998,0.562,,0.0%,4/16,45/48,dqn-no-obstacle,DQN
115,65.9,250,250,24,40,0,0.9226,0,False,54.747,0.748,,0.0%,10/16,40/48,dqn-no-obstacle,DQN
116,72.3,250,250,24,42,0,0.922,0,False,55.393,0.645,,0.0%,6/16,42/48,dqn-no-obstacle,DQN
117,89.7,250,250,22,45,0,0.9213,0,False,56.445,1.052,,0.0%,16/16,45/48,dqn-no-obstacle,DQN
118,76.1,250,250,23,43,0,0.9207,0,False,57.518,1.072,,0.0%,12/16,43/48,dqn-no-obstacle,DQN
119,43.1,250,250,25,36,0,0.92,0,False,58.118,0.599,,0.0%,2/16,36/48,dqn-no-obstacle,DQN
120,69.2,250,250,22,41,0,0.9194,0,False,58.966,0.848,,0.0%,2/16,41/48,dqn-no-obstacle,DQN
121,68.6,250,250,22,41,0,0.9188,0,False,59.511,0.545,,0.0%,6/16,41/48,dqn-no-obstacle,DQN
122,46.2,250,250,22,36,0,0.9181,0,False,60.161,0.649,,0.0%,14/16,36/48,dqn-no-obstacle,DQN
123,100.2,250,250,18,47,0,0.9175,0,False,60.999,0.837,,0.0%,4/16,47/48,dqn-no-obstacle,DQN
124,84.5,250,250,23,45,0,0.9168,0,False,61.684,0.683,,0.0%,6/16,45/48,dqn-no-obstacle,DQN
125,75.9,250,250,22,44,0,0.9162,0,False,62.427,0.742,,0.0%,6/16,44/48,dqn-no-obstacle,DQN
